State,State_short,Max_Week_Day,Week,Year,New_Case,New_Death,Share_Vaccination,New_Case_per_100,New_Death_per_100,Index3
New Hampshire,NH,18/10/2021,42,2021,3205,22,73.9,0.03205,0.00022,30
South Dakota,SD,18/10/2021,42,2021,2195,25,61.1,0.02195,0.00025,30
Maine,ME,18/10/2021,42,2021,2980,27,75.8,0.0298,0.00027,30
Delaware,DE,18/10/2021,42,2021,2166,32,68.5,0.02166,0.00032,30
Nebraska,NE,18/10/2021,42,2021,2943,33,60.6,0.02943,0.00033,30
North Dakota,ND,18/10/2021,42,2021,3183,38,52.8,0.03183,0.00038,30
Kansas,KS,18/10/2021,42,2021,5028,45,61.8,0.05028,0.00045,30
Mississippi,MS,18/10/2021,42,2021,2795,47,51.7,0.02795,0.00047,30
Utah,UT,18/10/2021,42,2021,8736,54,60.7,0.08736,0.00054,30
New Mexico,NM,18/10/2021,42,2021,4511,56,75.5,0.04511,0.00056,30
Alaska,AK,18/10/2021,42,2021,4715,63,58.9,0.04715,0.00063,30
Wyoming,WY,18/10/2021,42,2021,2695,69,50.3,0.02695,0.00069,30
